Start Time: 2022-06-14 16:30:25.483711; End Time: 2022-06-15 01:53:13.289435;
Size: 3270; Interval: 10
ask,bid
22637.5097,22473.6954
22631.85,22468.31501
22631.59205,22471.30411
22643.2304,22479.37469
22664.25,22506.70546
22682.44189,22515.11
22682.64262,22526.44
22691.27384,22526.84
22689.36694,22527.28
22676.31975,22513.79
22670.2,22503.71404
22669.39763,22504.31417
22661.29,22500.49768
22657.55115,22498.80386
22640.59052,22480.12
22667.28708,22503.13
22667.88926,22506.59
22659.96058,22501.25
22671.10087,22508.6
22687.56041,22527.9
22705.2243,22547.04
22696.7938,22540.47
22719.29,22558.27
22730.05,22562.45112
22754.50253,22585.48825
22743.66333,22586.66
22733.02485,22578.37
22750.38765,22590.64
22741.15425,22587.48
22728.60888,22570.16
22713.03,22552.70733
22732.05191,22567.55321
22753.42929,22591.43
22761.75944,22599.55
22764.97106,22607.35
22775.8103,22612.75
22761.25762,22596.96
22727.03374,22562.57137
22721.67,22557.58953
22738.58,22574.9
22729.44246,22564.96265
22721.71449,22557.29062
22713.88615,22549.51896
22709.97198,22545.63312
22708.76763,22544.43748
22715.35,22551.71097
22702.74583,22538.45928
22715.45,22558.48626
22706.86072,22542.54439
22704.62,22544.53712
22726.83302,22564.86
22730.145,22565.66011
22718.76,22559.21
22700.36,22540.55165
22702.6,22540.13
22712.64,22559.28336
22716.59596,22552.20915
22707.85,22545.93203
22699.5342,22535.2709
22690.40114,22526.20396
22701.61,22549.41932
22705.19763,22541.64765
22720.17,22562.87028
22707.88,22547.26
22691.67,22532.68035
22689.59824,22525.40687
22675.54738,22516.78
22690.64,22533.07889
22690.64,22538.55892
22702.21,22544.93567
22701.03965,22536.76545
22695.12,22546.33058
22714.1,22551.71097
22713.07,22551.21278
22713.07,22556.39389
22726.63229,22562.17282
22712.99,22556.99171
22726.86,22564.16556
22723.62139,22568.24
22740.78351,22576.2216
22742.79078,22578.21434
22748.51148,22583.89363
22726.93338,22562.47173
22715.24,22554.99898
22713.58506,22553.02
22707.36254,22543.04257
22689.19679,22531.85
22683.07463,22518.93048
22688.69497,22526.25
22685.48334,22521.32176
22659.65949,22507.37
22631.45748,22464.18956
22619.41392,22453.98
22584.18651,22424.82
22565.61935,22399.1367
22561.09,22400.11813
22553.87688,22389.83965
22565.59,22406.81669
22594.82498,22429.5152
22551.46816,22388.38172
22547.05219,22386.34
22560.8,22401.25948
22564.74632,22401.45876
