Start Time: 2022-06-28 17:27:15.565758; End Time: 2022-06-29 23:51:02.171652;
Size: 5482; Interval: 15
ask,bid
20291.01741,20143.78858
20281.18171,20134.02427
20284.99555,20140.56
20290.71632,20143.48967
20293.62688,20149.27
20293.02469,20147.26
20309.90979,20166.90408
20305.16877,20162.43
20307.17605,20161.51
20309.48443,20164.33
20308.48079,20165.36
20296.03562,20148.8
20279.47552,20135.16
20275.76204,20129.46
20278.67261,20131.53338
20280.88062,20133.72537
20287.80575,20140.68
20290.31486,20145.37
20290.11413,20142.89186
20290.41522,20143.31
20288.60867,20141.39732
20293.52652,20146.27948
20299.44801,20153.09
20309.58479,20165.44
20317.81466,20171.36
20315.00446,20167.60153
20324.33834,20176.95
20324.45,20177.26621
20319.32013,20171.91
20320.32377,20172.88223
20313.41,20166.90408
20313.69973,20166.30627
20327.14854,20179.65746
20327.66,20183.04508
20325.38,20179.35856
20324.94052,20177.46548
20324.71,20178.46184
20327.32,20183.34399
20359.72,20213.93218
20351.9385,20206.03714
20351.53705,20208.71
20350.72,20204.76568
20348.0243,20201.65008
20339.19225,20195.69711
20342.00244,20194.40356
20341.49,20194.20429
20337.98788,20192.24
20339.99516,20192.41085
20339.09188,20191.51412
20329.1,20182.04872
20315.80738,20170.01988
20305.97168,20158.63431
20305.77095,20158.43504
20307.96,20164.51283
20304.58,20158.33541
20305.18672,20161.22484
20290.2145,20142.9915
20289.31122,20142.09477
20290.23,20143.39004
20276.26387,20130.87862
20254.86,20114.09712
20275.76204,20129.62
20273.58,20128.44467
20279.07406,20131.93192
20273.3533,20128.26001
20267.43181,20125.62198
20267.13072,20120.41
20265.64,20118.97927
20264.01943,20116.98655
20278.87334,20131.73265
20270.14165,20123.06434
20276.36423,20131.52528
20274.55767,20131.52
20275.26022,20132.62
20280.07771,20132.92828
20274.55767,20127.44831
20282.18536,20135.02063
20280.67989,20134.27135
20280.3788,20133.22719
20313.25,20167.20299
20321.9296,20174.4764
20332.06638,20190.55
20337.38569,20197.19
20331.16311,20194.25
20341.50062,20197.71
20338.1886,20197.19
20321.42777,20181.41
20336.58278,20191.09
20344.07398,20202.97
20343.60827,20197.17
20346.21774,20201.3
20349.88273,20203.47042
20349.02794,20202.05
20348.62648,20212.89
20349.52976,20201.87625
20338.38933,20192.36
20338.79079,20192.9
20339.49334,20193.84
20342.70499,20199.03
20343.50791,20195.8981
20331.96602,20188.23508
20332.8693,20185.3367
20337.98788,20190.41813
20337.48605,20189.91995
