Start Time: 2022-06-12 14:46:40.283702;
End Time: 2022-06-12 16:16:23.832696
ask,bid
27888.76527,27693.87351
27855.56628,27661.66
27872.32519,27678.52945
27860.90669,27659.29955
27867.54858,27668.8
27887.77584,27697.26116
27869.70875,27676.53671
27878.78419,27683.51129
27880.89452,27685.90257
27888.50659,27690.07
27893.91874,27697.16152
27870.63238,27678.33018
27871.73528,27674.94253
27873.65283,27672.59433
27886.27087,27692.57823
27885.69642,27684.35
27910.60558,27711.60885
27917.36389,27715.39505
27923.37906,27727.65037
27944.78116,27747.87664
27957.98075,27765.1138
27960.44422,27772.28764
27934.97478,27735.69
27932.06424,27736.74473
27927.29013,27730.64571
27915.20322,27717.35179
27904.76544,27703.88624
27924.16606,27726.0677
27911.65852,27718.44652
27906.17052,27709.34
27897.84386,27702.96769
27918.20194,27721.87144
27906.98452,27709.01438
27918.26665,27720.07798
27898.94437,27703.1044
27886.59969,27686.45049
27872.84295,27675.70566
27876.45533,27679.88661
27872.17128,27676.34525
27874.7623,27674.34471
27878.50874,27683.51129
27872.74956,27678.62038
27873.67984,27676.93526
27886.0105,27690.08731
27883.52525,27686.29
27874.11804,27678.1309
27877.5445,27679.52582
27871.57977,27675.80371
27874.03763,27673.5403
27883.56225,27691.88078
27877.73119,27683.70552
27891.05862,27695.22284
27904.45303,27707.82266
27902.59712,27704.63428
27918.42764,27723.96381
27909.12474,27713.24461
27903.97971,27704.91654
27908.53063,27710.22885
27910.05217,27710.21394
27902.88089,27704.71824
27905.36762,27703.43864
27899.09803,27700.89722
27891.71821,27694.01849
27892.72185,27695.73226
27894.02657,27695.45445
27893.83982,27694.80312
27879.4739,27682.32238
27879.14163,27679.82473
27880.2047,27687.29748
27893.32403,27691.48223
27893.37254,27696.18311
27898.66696,27703.13973
27928.44685,27732.98199
27917.15606,27721.99898
27912.83963,27717.18851
27919.48373,27721.10263
27919.8988,27724.76091
27929.94598,27734.42567
27926.34354,27727.91091
27914.48272,27715.68231
27908.65,27711.70849
27918.75404,27721.97108
27916.80903,27715.96
27907.3521,27709.66
27905.85494,27708.27796
27907.33908,27707.72302
27906.85138,27708.28407
27926.20493,27726.22027
27926.36716,27728.84601
27926.14281,27727.50036
27943.40529,27748.94971
27938.86297,27744.38935
27940.99657,27742.5568
27941.21489,27744.60723
27954.65251,27753.00079
27968.9857,27773.98147
27965.48521,27767.66429
27979.09841,27779.86004
27991.78038,27789.22589
27994.28946,27800.69414
27986.16004,27794.24917
27962.87576,27773.43061
27947.2542,27746.38194
27944.50929,27750.39371
27945.11147,27750.09885
27946.32523,27746.38209
27962.35358,27760.72978
27954.14416,27761.03401
27953.12917,27755.49345
27948.42345,27752.45239
27951.63508,27749.37119
27960.66777,27758.3385
27978.93389,27778.54278
27970.40301,27769.68033
27983.5506,27781.65738
28003.12143,27807.44374
28010.24722,27814.641
28011.07,27812.39602
28007.46457,27807.67915
28000.71271,27807.65454
